asin,reviewer_id,rating,review_text
B002286,849,4,Review text 296
B005821,481,1,Review text 297
B005753,3377,1,Review text 298
B006165,2815,3,Review text 299
B005241,3351,2,Review text 300
B003865,4572,3,Review text 301
B003389,1943,1,Review text 302
B000260,2830,2,Review text 303
B003457,4156,1,Review text 304
B000294,907,2,Review text 305
B002164,401,5,Review text 306
B003707,154,4,Review text 307
B003713,4046,2,Review text 308
B008774,347,4,Review text 309
B005599,256,1,Review text 310
B004215,265,3,Review text 311
B006240,441,1,Review text 312
B009839,4917,3,Review text 313
B003635,3682,3,Review text 314
B008475,4356,1,Review text 315
B006668,2267,4,Review text 316
B002276,4281,5,Review text 317
B004336,2205,4,Review text 318
B003316,3633,3,Review text 319
B009877,2643,2,Review text 320
B002305,1562,2,Review text 321
B004440,2112,3,Review text 322
B006310,1893,3,Review text 323
B007457,1746,4,Review text 324
B009602,1751,3,Review text 325
B006353,409,3,Review text 326
B004084,3401,2,Review text 327
B000463,304,2,Review text 328
B001128,3925,5,Review text 329
B000584,559,2,Review text 330
B000772,90,1,Review text 331
B006233,2978,3,Review text 332
B006847,3979,4,Review text 333
B004226,2725,4,Review text 334
B008935,3580,3,Review text 335
B006056,1002,5,Review text 336
B005800,41,4,Review text 337
B007767,4756,5,Review text 338
B007527,436,5,Review text 339
B007220,2637,5,Review text 340
B005804,732,1,Review text 341
B004812,4838,3,Review text 342
B002075,1218,3,Review text 343
B003525,3289,5,Review text 344
B009663,374,4,Review text 345
B003769,3908,5,Review text 346
B007674,3525,1,Review text 347
B008565,3419,2,Review text 348
B009949,1221,3,Review text 349
B009380,4813,3,Review text 350
B006238,4525,1,Review text 351
B009037,1548,2,Review text 352
B005157,3745,2,Review text 353
B001977,4755,2,Review text 354
B009479,3119,3,Review text 355
B000036,3205,4,Review text 356
B007465,2071,5,Review text 357
B009154,1262,1,Review text 358
B000377,3987,3,Review text 359
B006288,3528,5,Review text 360
B003379,654,5,Review text 361
B002694,4295,2,Review text 362
B005403,2056,4,Review text 363
B002676,3168,2,Review text 364
B005795,1458,4,Review text 365
B004761,647,1,Review text 366
B006995,3576,1,Review text 367
B002943,3696,3,Review text 368
B002874,3629,3,Review text 369
B000184,2202,3,Review text 370
B002591,329,1,Review text 371
B005092,1615,2,Review text 372
B003323,2950,1,Review text 373
B003348,4377,2,Review text 374
B003588,3672,5,Review text 375
B001816,4763,5,Review text 376
B005173,3811,3,Review text 377
B007839,3723,4,Review text 378
B009489,2138,3,Review text 379
B002882,683,2,Review text 380
B005384,1151,3,Review text 381
B003160,2357,5,Review text 382
B000550,1277,3,Review text 383
B004871,242,3,Review text 384
B003512,3033,3,Review text 385
B003757,4950,3,Review text 386
B001275,1341,3,Review text 387
B004670,762,3,Review text 388
B007483,3524,4,Review text 389
B008696,2006,2,Review text 390
B009868,1306,5,Review text 391
B002124,3097,5,Review text 392
B005879,2138,1,Review text 393
B004023,1212,2,Review text 394
B008541,1909,2,Review text 395
B005350,4405,2,Review text 396
B003173,3617,2,Review text 397
B000859,2768,3,Review text 398
B005527,4460,3,Review text 399
B007415,1047,4,Review text 400
B009232,4116,1,Review text 401
B001785,1955,2,Review text 402
B001445,4527,5,Review text 403
B003925,4867,1,Review text 404
B005894,1247,5,Review text 405
B008996,596,2,Review text 406
B007265,225,1,Review text 407
B004149,2091,4,Review text 408
B002860,1404,4,Review text 409
B008081,1059,1,Review text 410
B009098,2313,5,Review text 411
B008002,4993,5,Review text 412
B000007,1432,4,Review text 413
B007924,3020,2,Review text 414
B006859,4486,1,Review text 415
B003455,1066,2,Review text 416
B005188,4110,4,Review text 417
B000295,3850,2,Review text 418
B000780,3896,5,Review text 419
B005475,3653,5,Review text 420
B001564,4546,4,Review text 421
B002791,1791,3,Review text 422
B003675,4151,4,Review text 423
B006847,525,4,Review text 424
B000284,836,3,Review text 425
B002437,4268,2,Review text 426
B008570,2137,1,Review text 427
B009359,1518,3,Review text 428
B006957,2129,4,Review text 429
B001954,2669,2,Review text 430
B004844,898,3,Review text 431
B004760,3999,2,Review text 432
B004133,3835,4,Review text 433
B002001,729,4,Review text 434
B009661,1372,5,Review text 435
B004368,2861,1,Review text 436
B006988,3578,2,Review text 437
B000118,2416,1,Review text 438
B007893,2038,1,Review text 439
B001785,2844,1,Review text 440
B009224,2012,1,Review text 441
B009514,3441,2,Review text 442
B005009,3605,2,Review text 443
B007469,4443,4,Review text 444
B004226,2783,5,Review text 445
B003578,1186,3,Review text 446
B006116,268,4,Review text 447
B000837,3004,5,Review text 448
B000220,2806,2,Review text 449
B008408,1752,2,Review text 450
B006259,4588,4,Review text 451
B003157,396,3,Review text 452
B005379,777,2,Review text 453
B003291,3641,5,Review text 454
B006531,863,5,Review text 455
B005169,3166,2,Review text 456
B003421,2332,2,Review text 457
B003446,3055,1,Review text 458
B001789,1120,5,Review text 459
B004100,2371,1,Review text 460
B003524,4169,1,Review text 461
B008451,1357,3,Review text 462
B007019,4636,3,Review text 463
B005964,4697,1,Review text 464
B008319,3196,5,Review text 465
B004453,3265,3,Review text 466
B004052,1277,5,Review text 467
B002488,2855,5,Review text 468
B009633,1772,3,Review text 469
B009686,4915,4,Review text 470
B007238,569,2,Review text 471
B006515,3953,2,Review text 472
B001350,4489,4,Review text 473
B003620,340,5,Review text 474
B008170,2991,5,Review text 475
B009990,2239,2,Review text 476
B004058,1397,3,Review text 477
B002786,2724,2,Review text 478
B004740,3139,1,Review text 479
B002507,1677,2,Review text 480
B004544,4519,4,Review text 481
B001721,4655,3,Review text 482
B008913,2908,4,Review text 483
B000186,3814,3,Review text 484
B005803,1318,1,Review text 485
B008248,2840,1,Review text 486
B006764,2209,3,Review text 487
B000188,660,2,Review text 488
B006133,4778,1,Review text 489
B006145,26,5,Review text 490
B003949,2790,2,Review text 491
B004357,66,3,Review text 492
B001738,3635,1,Review text 493
B004296,883,1,Review text 494
B004343,1841,1,Review text 495
B000938,4841,5,Review text 496
B009181,4877,2,Review text 497
B000594,1524,5,Review text 498
B004269,4182,3,Review text 499
B000782,2386,1,Review text 500
B007270,106,5,Review text 501
B008061,669,2,Review text 502
B008088,279,1,Review text 503
B008145,4511,3,Review text 504
B006264,2167,3,Review text 505
B009888,488,5,Review text 506
B001711,120,2,Review text 507
B004147,500,4,Review text 508
B000273,3479,2,Review text 509
B003556,4232,2,Review text 510
B002655,392,5,Review text 511
B000470,3502,4,Review text 512
B006682,1519,5,Review text 513
B001281,3424,1,Review text 514
B001052,356,3,Review text 515
B005825,3879,3,Review text 516
B005269,3874,1,Review text 517
B005045,3998,1,Review text 518
B009775,4655,1,Review text 519
B009464,2857,1,Review text 520
B002170,4447,3,Review text 521
B002149,4550,2,Review text 522
B006124,2462,1,Review text 523
B000114,2839,2,Review text 524
B007200,1481,5,Review text 525
B000445,2621,1,Review text 526
B003335,4228,1,Review text 527
B003331,3967,3,Review text 528
B008888,4025,3,Review text 529
B004793,3345,4,Review text 530
B004831,3303,1,Review text 531
B009358,1024,3,Review text 532
B002778,4112,2,Review text 533
B009193,105,1,Review text 534
B006915,4850,4,Review text 535
B005470,774,5,Review text 536
B000546,3905,2,Review text 537
B007870,660,1,Review text 538
B000428,683,2,Review text 539
B002907,79,4,Review text 540
B004816,2970,5,Review text 541
B008331,3690,3,Review text 542
B008462,1898,1,Review text 543
B006744,4830,1,Review text 544
B008751,3065,2,Review text 545
B007386,3683,1,Review text 546
B004454,3639,2,Review text 547
B001417,3500,2,Review text 548
B002150,4127,4,Review text 549
B000897,2530,1,Review text 550
B003664,538,4,Review text 551
B002539,20,3,Review text 552
B007487,3081,1,Review text 553
B004523,936,5,Review text 554
B004403,1554,4,Review text 555
B003340,935,4,Review text 556
B009270,626,3,Review text 557
B000973,1417,2,Review text 558
B003645,67,2,Review text 559
B008864,2234,3,Review text 560
B002345,2292,3,Review text 561
B007012,353,5,Review text 562
B003611,4898,4,Review text 563
B008089,899,2,Review text 564
B003875,750,5,Review text 565
B001810,400,2,Review text 566
B005285,4691,1,Review text 567
B000866,1832,5,Review text 568
B003400,2337,2,Review text 569
B009080,1886,1,Review text 570
B007050,2416,2,Review text 571
B006719,1647,2,Review text 572
B006195,4488,5,Review text 573
B001566,604,1,Review text 574
B008877,3851,2,Review text 575
B005358,3145,4,Review text 576
B004074,1400,3,Review text 577
B008902,3656,1,Review text 578
B002883,1670,3,Review text 579
B002020,3929,2,Review text 580
B009753,3778,5,Review text 581
B008470,1642,2,Review text 582
B002279,186,5,Review text 583
B004580,447,5,Review text 584
B008899,245,3,Review text 585
B004173,97,4,Review text 586
B008564,3385,5,Review text 587
B009939,4543,4,Review text 588
B007571,2043,5,Review text 589
B003556,3652,1,Review text 590
B008484,180,4,Review text 591
B000268,2028,5,Review text 592
B000383,4000,1,Review text 593
B005773,4387,2,Review text 594
B001740,4953,1,Review text 595
B002209,2131,4,Review text 596
B002035,3628,4,Review text 597
B002062,2018,5,Review text 598
B009006,310,2,Review text 599
B003985,2522,4,Review text 600
B003810,3080,3,Review text 601
B001935,243,3,Review text 602
B001004,3920,2,Review text 603
B008018,1900,3,Review text 604
B007681,318,5,Review text 605
B006471,177,1,Review text 606
B000736,401,2,Review text 607
B006561,3665,5,Review text 608
B004033,4493,2,Review text 609
B004175,4980,1,Review text 610
B006958,3001,5,Review text 611
B008247,3404,2,Review text 612
B007518,3870,5,Review text 613
B006085,3928,1,Review text 614
B000885,3971,2,Review text 615
B009091,890,3,Review text 616
B009842,4021,1,Review text 617
B008411,4896,1,Review text 618
B004352,3225,1,Review text 619
B008940,2301,4,Review text 620
B001744,3345,3,Review text 621
B008388,4535,4,Review text 622
B005746,1610,5,Review text 623
B002165,3329,2,Review text 624
B000707,2775,1,Review text 625
B002578,1186,3,Review text 626
B007821,4965,5,Review text 627
B003984,2064,3,Review text 628
B005185,1839,3,Review text 629
B004783,4264,2,Review text 630
B000071,1908,4,Review text 631
B007477,3807,2,Review text 632
B008574,4988,3,Review text 633
B007754,167,5,Review text 634
B001642,1266,3,Review text 635
B009829,191,3,Review text 636
B003941,1057,5,Review text 637
B001568,315,2,Review text 638
B007286,1183,2,Review text 639
B003916,2132,4,Review text 640
B003441,1934,1,Review text 641
B007753,3206,5,Review text 642
B003501,416,1,Review text 643
B006318,1441,2,Review text 644
B003980,4327,2,Review text 645
B006715,1293,3,Review text 646
B008868,3267,1,Review text 647
B009896,4778,5,Review text 648
B004515,3826,1,Review text 649
B008702,284,1,Review text 650
B004158,1119,3,Review text 651
B002865,196,1,Review text 652
B008655,4510,4,Review text 653
B005615,2986,3,Review text 654
B006942,3783,2,Review text 655
B008548,1631,1,Review text 656
B000933,4524,3,Review text 657
B001657,3141,5,Review text 658
B002726,4386,3,Review text 659
B002066,1624,1,Review text 660
B004813,121,4,Review text 661
B008701,4579,3,Review text 662
B009014,4957,4,Review text 663
B009432,3267,4,Review text 664
B007228,3759,2,Review text 665
B008380,2400,4,Review text 666
B006770,1579,4,Review text 667
B000611,2144,4,Review text 668
B003205,1547,5,Review text 669
B005402,2136,1,Review text 670
B009720,3563,2,Review text 671
B008771,1689,5,Review text 672
B009313,4233,2,Review text 673
B005149,2814,4,Review text 674
B005683,562,3,Review text 675
B006619,3492,2,Review text 676
B000303,2177,4,Review text 677
B000480,1822,5,Review text 678
B004450,997,4,Review text 679
B001709,2317,4,Review text 680
B000103,516,3,Review text 681
B003503,2358,2,Review text 682
B008482,2247,5,Review text 683
B004601,1720,4,Review text 684
B002204,607,3,Review text 685
B008811,2037,1,Review text 686
B000450,4682,2,Review text 687
B003774,4513,2,Review text 688
B008156,772,4,Review text 689
B009351,469,4,Review text 690
B004727,2565,2,Review text 691
B003681,270,4,Review text 692
B002719,1775,2,Review text 693
B004282,3740,1,Review text 694
B005017,4934,4,Review text 695
B004224,515,1,Review text 696
B009241,602,2,Review text 697
B004280,2048,3,Review text 698
B005621,4622,1,Review text 699
B007698,1401,5,Review text 700
B007428,4321,1,Review text 701
B001062,4596,3,Review text 702
B005900,178,4,Review text 703
B000723,4393,5,Review text 704
B000913,3433,5,Review text 705
B004277,3690,5,Review text 706
B004334,3326,3,Review text 707
B003125,4675,1,Review text 708
B004586,4419,4,Review text 709
B003883,607,5,Review text 710
B006134,1258,2,Review text 711
B000229,4484,5,Review text 712
B007316,2842,3,Review text 713
B009963,1005,2,Review text 714
B005534,3715,4,Review text 715
B008895,1435,3,Review text 716
B000467,2747,4,Review text 717
B008058,2582,2,Review text 718
B004780,2506,4,Review text 719
B000838,2865,1,Review text 720
B002363,57,2,Review text 721
B009789,986,3,Review text 722
B003998,2948,4,Review text 723
B002417,2148,1,Review text 724
B008830,400,4,Review text 725
B008922,1493,3,Review text 726
B000258,1077,1,Review text 727
B001972,4978,5,Review text 728
B002363,2623,2,Review text 729
B006516,3976,1,Review text 730
B007263,3076,2,Review text 731
B009965,4342,3,Review text 732
B008583,4939,1,Review text 733
B003348,4115,3,Review text 734
B002011,1215,5,Review text 735
B000811,1101,1,Review text 736
B005319,1817,5,Review text 737
B002282,820,2,Review text 738
B006975,813,2,Review text 739
B000827,675,5,Review text 740
B008796,815,1,Review text 741
B000240,262,2,Review text 742
B006157,4556,1,Review text 743
B009295,187,4,Review text 744
B007759,1145,2,Review text 745
B001014,4924,3,Review text 746
B003898,4820,2,Review text 747
B000315,2009,3,Review text 748
B004031,1354,1,Review text 749
B006478,3838,3,Review text 750
B003160,4408,2,Review text 751
B006335,1427,1,Review text 752
B007321,17,5,Review text 753
B005317,1614,4,Review text 754
B004369,3898,5,Review text 755
B001955,1449,3,Review text 756
B006815,393,1,Review text 757
B005367,3673,1,Review text 758
B005214,4896,5,Review text 759
B005164,3461,5,Review text 760
B003067,3795,1,Review text 761
B006027,4189,4,Review text 762
B008096,1677,3,Review text 763
B005626,170,4,Review text 764
B003135,2455,2,Review text 765
B003769,620,5,Review text 766
B004535,4906,2,Review text 767
B005880,3720,2,Review text 768
B009730,564,3,Review text 769
B006343,75,5,Review text 770
B006296,1276,3,Review text 771
B004387,3670,1,Review text 772
B003547,3133,5,Review text 773
B004322,2888,3,Review text 774
B005667,4713,5,Review text 775
B009147,4141,2,Review text 776
B009721,3966,1,Review text 777
B001103,315,5,Review text 778
B001138,4367,3,Review text 779
B006676,1342,4,Review text 780
B004278,3789,4,Review text 781
B005690,4850,2,Review text 782
B006449,3136,2,Review text 783
B009233,51,4,Review text 784
B000696,4421,2,Review text 785
B004803,2041,1,Review text 786
B000549,2525,3,Review text 787
B009200,3902,5,Review text 788
B002233,1000,4,Review text 789
B000457,1755,5,Review text 790
B008358,2575,2,Review text 791
B006482,1633,5,Review text 792
B007969,140,3,Review text 793
B004220,3737,2,Review text 794
B007908,2811,2,Review text 795
B006918,704,5,Review text 796
B005592,3279,5,Review text 797
B007595,3109,4,Review text 798
B007874,4157,2,Review text 799
B003624,3983,2,Review text 800
B009585,2936,1,Review text 801
B000562,1120,5,Review text 802
B008981,4774,5,Review text 803
B004532,4849,4,Review text 804
B008934,1811,4,Review text 805
B004255,3428,4,Review text 806
B008979,4085,3,Review text 807
B008125,717,2,Review text 808
B007664,51,2,Review text 809
B002514,2704,5,Review text 810
B008601,248,3,Review text 811
B009690,927,1,Review text 812
B009340,2601,2,Review text 813
B009595,3643,1,Review text 814
B008063,4134,5,Review text 815
B002747,4067,3,Review text 816
B008952,2728,2,Review text 817
B005697,849,4,Review text 818
B000413,3265,3,Review text 819
B005188,2833,4,Review text 820
B007902,2329,4,Review text 821
B003592,3041,3,Review text 822
B009127,799,1,Review text 823
B002967,2668,2,Review text 824
B001398,1447,1,Review text 825
B002297,40,2,Review text 826
B004299,811,3,Review text 827
B007485,956,2,Review text 828
B009123,3883,4,Review text 829
B004559,4117,2,Review text 830
B001835,3363,4,Review text 831
B005614,588,5,Review text 832
B004868,372,1,Review text 833
B007445,988,3,Review text 834
B001202,1386,1,Review text 835
B006775,3523,4,Review text 836
B007348,4041,3,Review text 837
B008459,1678,4,Review text 838
B008582,2926,2,Review text 839
B005580,3133,5,Review text 840
B004222,2956,5,Review text 841
B004042,309,2,Review text 842
B009295,2186,4,Review text 843
B000462,3342,5,Review text 844
B001761,1767,3,Review text 845
B000699,474,2,Review text 846
B001184,2822,2,Review text 847
B001566,1974,1,Review text 848
B003003,4141,2,Review text 849
B007685,2473,3,Review text 850
B007683,2360,2,Review text 851
B000697,1691,2,Review text 852
B009563,414,1,Review text 853
B008093,2687,1,Review text 854
B002064,188,3,Review text 855
B001996,3343,3,Review text 856
B009230,4184,3,Review text 857
B003084,1799,2,Review text 858
B004553,2709,3,Review text 859
B007386,2934,5,Review text 860
B009956,4386,1,Review text 861
B004596,3815,3,Review text 862
B008029,1005,4,Review text 863
B007769,2224,4,Review text 864
B000833,4456,3,Review text 865
B005479,1935,3,Review text 866
B000311,1471,2,Review text 867
B001169,1201,2,Review text 868
B001315,4725,4,Review text 869
B005302,4986,5,Review text 870
B000990,4914,4,Review text 871
B007968,3026,4,Review text 872
B000476,742,1,Review text 873
B005707,2877,2,Review text 874
B000261,2366,1,Review text 875
B006261,4770,5,Review text 876
B004990,4515,4,Review text 877
B004398,4800,4,Review text 878
B000772,3218,3,Review text 879
B004554,152,1,Review text 880
B008854,2065,3,Review text 881
B009600,1346,3,Review text 882
B004256,3092,1,Review text 883
B004607,2744,4,Review text 884
B001521,1604,3,Review text 885
B000591,750,1,Review text 886
B000276,3110,4,Review text 887
B009788,1959,1,Review text 888
B008270,4728,5,Review text 889
B003843,4014,2,Review text 890
B008177,712,4,Review text 891
B009317,1388,4,Review text 892
B002794,2839,4,Review text 893
B002618,866,2,Review text 894
B007401,2757,1,Review text 895
B005083,4267,1,Review text 896
B009233,923,1,Review text 897
B004868,213,3,Review text 898
B002133,2881,1,Review text 899
B005656,4986,5,Review text 900
B009826,84,4,Review text 901
B006032,3953,4,Review text 902
B005524,4622,4,Review text 903
B002277,1937,2,Review text 904
B009644,3606,2,Review text 905
B004892,1446,1,Review text 906
B004801,1371,3,Review text 907
B002793,172,5,Review text 908
B001033,1918,5,Review text 909
B006200,765,4,Review text 910
B003612,3419,1,Review text 911
B000345,1558,3,Review text 912
B000829,708,3,Review text 913
B005293,417,5,Review text 914
B003931,1852,2,Review text 915
B004824,4618,3,Review text 916
B000045,3060,5,Review text 917
B009479,3809,2,Review text 918
B008432,3688,3,Review text 919
B003808,4269,1,Review text 920
B008405,2921,2,Review text 921
B008700,4039,4,Review text 922
B006713,3108,5,Review text 923
B008967,515,3,Review text 924
B003250,3372,4,Review text 925
B009357,3565,4,Review text 926
B003960,2378,1,Review text 927
B000831,4144,5,Review text 928
B002444,3913,3,Review text 929
B006638,817,5,Review text 930
B002049,4133,5,Review text 931
B004412,2889,2,Review text 932
B003250,1094,1,Review text 933
B008140,904,5,Review text 934
B004547,1493,2,Review text 935
B008341,2203,2,Review text 936
B009715,1742,3,Review text 937
B009457,168,4,Review text 938
B008832,4564,2,Review text 939
B008698,3774,2,Review text 940
B002032,3308,4,Review text 941
B006791,218,1,Review text 942
B002304,2383,1,Review text 943
