user_id,business_name,business_type,industry,annual_revenue,employee_count,credit_limit
47,Business 47,Manufacturer,Healthcare,6345740.619047974,884,81013.25874490505
48,Business 48,Retailer,Healthcare,5224883.301711978,279,50803.759888617664
49,Business 49,Service Provider,Healthcare,8599819.228800874,510,44330.04759717309
50,Business 50,Retailer,Manufacturing,841797.5358499907,863,63310.70530375142
51,Business 51,Government,Retail,9119803.127544172,374,82282.97489297949
52,Business 52,Retailer,Manufacturing,6061849.274762777,425,35438.769672648516
53,Business 53,Government,Finance,1444855.889576735,924,13433.552686389094
54,Business 54,Manufacturer,Manufacturing,9095511.712164115,353,19031.082863535026
55,Business 55,Service Provider,Manufacturing,5466051.038186148,831,26784.709063831095
56,Business 56,Service Provider,Manufacturing,4634872.311898372,193,64833.62552083952
57,Business 57,Service Provider,Manufacturing,4488228.243368776,607,30635.471929423053
58,Business 58,Manufacturer,Retail,7594188.2601204235,187,91159.36848717998
59,Business 59,Government,Manufacturing,2452482.538261187,811,22749.805715311388
60,Business 60,Government,Healthcare,7409765.611205067,226,58816.814664675876
61,Business 61,Manufacturer,Technology,6788951.779233686,936,98924.26446364331
62,Business 62,Distributor,Healthcare,4045660.0331257316,108,94011.04654650843
63,Business 63,Retailer,Finance,6951460.520546073,639,26824.668199591884
64,Business 64,Manufacturer,Finance,7062183.179291714,409,72024.81839640236
65,Business 65,Service Provider,Retail,2276452.854060424,240,39484.81664508868
66,Business 66,Manufacturer,Retail,8684105.323224045,558,59857.868569390004
67,Business 67,Government,Technology,4577600.634902641,625,50235.489283087074
68,Business 68,Government,Finance,8543428.631608322,839,98547.21642170989
69,Business 69,Distributor,Manufacturing,5036627.116250827,869,26143.679739491905
70,Business 70,Retailer,Healthcare,5484638.401508403,843,94310.16418704046
71,Business 71,Distributor,Healthcare,5052050.04506744,426,51442.304415453626
72,Business 72,Distributor,Retail,2427557.497878806,444,23761.54536837806
73,Business 73,Retailer,Finance,9349904.988285007,632,53319.490371862965
74,Business 74,Service Provider,Healthcare,203948.5660788546,579,71554.73407710106
75,Business 75,Government,Finance,9536827.547676045,492,21871.655019570055
76,Business 76,Government,Healthcare,6712825.173766939,356,21374.310836062272
77,Business 77,Retailer,Healthcare,3989949.19721717,606,53782.246115262154
78,Business 78,Manufacturer,Retail,7504555.2471784605,938,82764.61208553323
79,Business 79,Distributor,Finance,4135313.940292406,573,87638.9190348574
80,Business 80,Manufacturer,Retail,4547183.169641141,799,15553.655864476967
81,Business 81,Distributor,Retail,6630666.822244752,849,53246.08217215628
82,Business 82,Distributor,Healthcare,296298.5846623853,652,32278.760046041287
83,Business 83,Service Provider,Finance,3932570.5221126997,761,87334.91892079523
84,Business 84,Manufacturer,Finance,882699.4844896395,16,15706.44132144639
85,Business 85,Service Provider,Finance,9538612.03312052,114,79824.02329657432
86,Business 86,Service Provider,Retail,2765993.5280643734,722,30083.690922125606
87,Business 87,Manufacturer,Retail,5765778.257662034,779,18852.74342137044
88,Business 88,Distributor,Manufacturing,5151376.562679257,964,93608.90965400187
89,Business 89,Manufacturer,Retail,6254588.495085583,800,87786.72706610477
90,Business 90,Service Provider,Finance,6158611.998644916,204,97818.10616792402
91,Business 91,Retailer,Retail,3082844.8548031026,398,14576.928569247655
92,Business 92,Distributor,Technology,7759918.242274404,774,77836.91501559353
93,Business 93,Government,Healthcare,1831591.0288417605,164,42262.23484762931
94,Business 94,Service Provider,Finance,4811685.28635301,40,24660.910374322924
95,Business 95,Service Provider,Retail,4404742.300128122,10,54374.29681578939
96,Business 96,Retailer,Healthcare,2401886.297038841,403,80095.83745926921
97,Business 97,Service Provider,Manufacturing,975611.819352047,171,97432.05852990376
98,Business 98,Government,Retail,837357.2022045152,865,79317.892528847
99,Business 99,Retailer,Manufacturing,6849851.399408397,867,61482.88071365829
100,Business 100,Service Provider,Manufacturing,8694302.522248492,77,62412.68711496302
101,Business 101,Manufacturer,Manufacturing,5369467.337737891,256,26117.389862108517
102,Business 102,Distributor,Manufacturing,7247034.8257687,173,13356.910959719122
103,Business 103,Retailer,Finance,9166757.428577486,48,91367.62794215296
104,Business 104,Service Provider,Technology,9830460.025904063,461,59660.03121719996
105,Business 105,Service Provider,Manufacturing,2972970.1023114,242,94997.23122122756
106,Business 106,Distributor,Finance,8150042.6754022995,891,84724.20696630684
107,Business 107,Retailer,Manufacturing,4336975.011665167,640,15624.04856456909
108,Business 108,Retailer,Finance,432380.30423374404,613,66659.36080967386
109,Business 109,Distributor,Manufacturing,7038147.874942624,722,65206.18184743111
110,Business 110,Service Provider,Finance,4544240.357291936,640,75115.19398641611
111,Business 111,Manufacturer,Manufacturing,5991981.496308729,794,37366.377549876765
112,Business 112,Retailer,Manufacturing,7711684.075096278,798,46432.01763548569
113,Business 113,Distributor,Manufacturing,6430316.732238972,442,77369.05721846905
114,Business 114,Distributor,Finance,6232281.028009134,110,36058.057495371526
115,Business 115,Manufacturer,Retail,7345756.445232639,296,88372.23676580035
116,Business 116,Government,Retail,1523396.36263126,182,34915.124501549086
117,Business 117,Service Provider,Finance,316946.0503413909,799,49255.26045789267
118,Business 118,Retailer,Manufacturing,5162308.164076212,89,93920.50756578523
119,Business 119,Manufacturer,Retail,7384285.244548294,473,26317.710192596824
120,Business 120,Manufacturer,Retail,4009514.183760966,978,97948.73916854462
121,Business 121,Retailer,Retail,1743268.0247948237,693,52766.58789193326
122,Business 122,Retailer,Retail,4415744.514202876,408,95140.19704964593
123,Business 123,Distributor,Healthcare,7370796.402834658,618,42416.877310478216
124,Business 124,Distributor,Finance,7976238.705051376,474,88088.63682852814
125,Business 125,Service Provider,Healthcare,673803.311744179,868,12471.143170143821
126,Business 126,Distributor,Healthcare,7082483.925402284,790,72036.25370567152
127,Business 127,Distributor,Finance,2767010.162719433,915,94799.31083334766
128,Business 128,Government,Technology,5097016.314741119,729,84115.5232888412
129,Business 129,Retailer,Manufacturing,8075538.78195678,126,40736.204702271134
130,Business 130,Manufacturer,Manufacturing,7346273.820200854,789,61000.47882341456
131,Business 131,Service Provider,Technology,2288722.528080405,649,70734.12758633873
132,Business 132,Government,Retail,8893357.33657537,829,89119.51508653922
133,Business 133,Service Provider,Manufacturing,2390956.4365271013,979,72874.52213182344
134,Business 134,Service Provider,Manufacturing,1376667.0172496047,450,41992.55392842082
135,Business 135,Retailer,Retail,3337155.5720064132,659,33709.43433832443
136,Business 136,Manufacturer,Technology,6921586.168135755,951,98359.52812810143
137,Business 137,Government,Manufacturing,9672519.965179712,211,50603.79694833765
138,Business 138,Retailer,Manufacturing,9219578.169655759,288,25149.632610428023
139,Business 139,Distributor,Technology,8526086.554706221,941,72824.53667502373
140,Business 140,Government,Manufacturing,9440086.03555277,436,61473.71818707701
141,Business 141,Retailer,Healthcare,4943472.806226863,149,52646.39556915332
142,Business 142,Service Provider,Manufacturing,7511079.756759248,187,48730.1433700524
143,Business 143,Government,Manufacturing,8562451.499257397,903,60974.82296638838
144,Business 144,Service Provider,Manufacturing,4232628.373896645,350,64830.1402301996
145,Business 145,Government,Retail,2179895.0951527404,965,96827.74841763642
146,Business 146,Service Provider,Healthcare,5116104.589664122,238,12045.047574017393
147,Business 147,Service Provider,Manufacturing,6368383.568444899,335,46031.84385274559
148,Business 148,Retailer,Finance,3681528.394468326,727,91130.94622230144
149,Business 149,Manufacturer,Finance,9896429.226805119,539,54332.12743228531
150,Business 150,Service Provider,Retail,3931365.0659594852,551,93904.50082904595
151,Business 151,Distributor,Retail,8501979.94509343,625,13920.839155317335
152,Business 152,Government,Retail,760987.4662028743,651,60682.064777827494
153,Business 153,Service Provider,Healthcare,4531088.365304331,542,47569.441970710766
154,Business 154,Government,Healthcare,3603552.199167282,362,86343.02601744971
155,Business 155,Government,Finance,3206289.982900139,42,67539.36024763886
156,Business 156,Service Provider,Healthcare,9006002.86154247,419,58578.254083057866
157,Business 157,Government,Healthcare,7299909.829355118,298,21668.016868928586
158,Business 158,Government,Healthcare,5373547.93826038,101,13232.07051318646
159,Business 159,Government,Retail,1185097.070096617,753,48087.71710948298
160,Business 160,Government,Finance,8318297.654213247,104,89687.4558569863
161,Business 161,Service Provider,Healthcare,2696800.7773072394,29,83519.1840475047
162,Business 162,Distributor,Healthcare,7338584.545468594,414,48835.422098047085
163,Business 163,Manufacturer,Healthcare,1035420.3852300651,141,51100.00244511303
164,Business 164,Government,Manufacturing,6139678.236804188,838,65234.34929040608
165,Business 165,Government,Technology,2567007.4617998656,489,92105.87621466492
166,Business 166,Service Provider,Manufacturing,1477086.7568171485,845,24823.549808674594
167,Business 167,Retailer,Manufacturing,2585211.7307037027,81,33528.86571936857
168,Business 168,Government,Manufacturing,9420921.706276469,327,62630.99599439797
169,Business 169,Government,Healthcare,5364548.244355643,471,38896.71397805705
170,Business 170,Service Provider,Healthcare,2163168.490199754,36,60817.128714474784
171,Business 171,Government,Finance,7852118.537363164,876,85099.96194245854
172,Business 172,Government,Healthcare,3008103.330885453,74,49945.655924138315
173,Business 173,Retailer,Manufacturing,6949900.30845877,395,36092.182188527266
174,Business 174,Manufacturer,Technology,1674802.0950799792,835,59424.03913421703
175,Business 175,Distributor,Manufacturing,7946184.82632092,391,75193.5659034881
176,Business 176,Distributor,Finance,549781.667500602,921,23921.396640149716
177,Business 177,Distributor,Healthcare,9888626.988473734,272,26027.021855458086
178,Business 178,Government,Retail,4859483.057137121,658,61161.92516899041
179,Business 179,Retailer,Healthcare,6331685.1332251225,489,40093.26626651518
180,Business 180,Distributor,Retail,4154999.506659155,354,51005.8708064096
181,Business 181,Manufacturer,Finance,5683880.526125368,295,70963.30162180249
182,Business 182,Distributor,Finance,2925614.0677953796,884,27556.145452795892
183,Business 183,Manufacturer,Healthcare,5663915.106075306,221,71156.96152195553
184,Business 184,Distributor,Manufacturing,5832504.591913468,192,90959.14372135127
185,Business 185,Manufacturer,Retail,4116718.5309735755,30,53694.85776001245
186,Business 186,Retailer,Retail,3859116.1611378957,843,70873.6377945595
187,Business 187,Government,Technology,8062274.289638986,872,65684.19964691522
188,Business 188,Service Provider,Technology,3209381.862108312,784,37538.57110842345
189,Business 189,Manufacturer,Healthcare,3439282.912830681,898,18979.489964884277
190,Business 190,Retailer,Healthcare,3630871.3883805126,779,34470.48848292869
191,Business 191,Distributor,Finance,5292477.99090407,808,28035.6688992582
192,Business 192,Government,Retail,6399347.391171878,128,72605.21077389341
193,Business 193,Manufacturer,Finance,2139459.5689522424,644,99407.15379964047
194,Business 194,Retailer,Healthcare,1098195.0392407994,776,11960.086255130998
195,Business 195,Manufacturer,Retail,7290636.033521304,990,32654.193368821703
196,Business 196,Manufacturer,Healthcare,4247504.96148178,266,59409.452477488194
197,Business 197,Service Provider,Technology,9944446.739638388,485,72616.38437846255
198,Business 198,Manufacturer,Healthcare,3611723.0727505516,998,93945.5664142704
199,Business 199,Manufacturer,Finance,7488425.149294729,168,67397.77890417942
200,Business 200,Retailer,Healthcare,7270782.067528922,293,97686.08284219225
201,Business 201,Retailer,Retail,2091938.353914557,41,99098.2522304284
202,Business 202,Retailer,Finance,407356.388618662,135,22173.850691932057
203,Business 203,Government,Retail,3907331.4283331507,781,16527.901933982164
204,Business 204,Service Provider,Healthcare,8093745.743835045,147,24919.35262831778
205,Business 205,Service Provider,Healthcare,3925833.032144661,973,77574.55130891045
206,Business 206,Distributor,Healthcare,4785086.552638755,304,62520.72386201433
207,Business 207,Retailer,Retail,6017357.242849158,169,83986.96179776438
208,Business 208,Government,Manufacturing,4850959.752009152,728,49315.51632372767
209,Business 209,Service Provider,Finance,4433857.0591307515,402,39898.2245983976
210,Business 210,Retailer,Finance,1006290.16519946,215,65316.055931880124
211,Business 211,Service Provider,Healthcare,6490965.558183897,164,73733.7670856015
212,Business 212,Government,Finance,260614.63952362293,283,25596.9283646739
213,Business 213,Distributor,Healthcare,8500573.923721217,223,12596.02839855097
214,Business 214,Service Provider,Technology,7403503.916086094,330,18106.31928159485
215,Business 215,Service Provider,Finance,8795943.546333974,822,33876.9725003301
216,Business 216,Distributor,Healthcare,3997213.368122859,56,79020.53764507387
217,Business 217,Retailer,Finance,4292989.146104975,871,54227.557586814604
218,Business 218,Distributor,Finance,1001180.7616439074,508,21049.50166279138
219,Business 219,Distributor,Healthcare,5756484.125100049,993,55224.869480191475
220,Business 220,Service Provider,Healthcare,2238360.9026874695,176,45769.19266529413
221,Business 221,Distributor,Finance,5096832.905947085,237,40718.3248170368
222,Business 222,Government,Healthcare,3188102.9627786707,169,10467.799000862264
223,Business 223,Distributor,Healthcare,9646272.224241652,958,96228.26552933155
224,Business 224,Distributor,Technology,4273792.7466920875,984,86524.11267478603
225,Business 225,Government,Technology,3899880.778913986,167,32808.69236902348
226,Business 226,Government,Technology,9366088.751897063,901,88969.83303553332
227,Business 227,Government,Retail,7033134.081947198,789,19718.599398696322
228,Business 228,Retailer,Technology,3772568.7165976632,293,87818.11863463295
229,Business 229,Service Provider,Healthcare,4695338.010902954,938,17813.061507504426
230,Business 230,Service Provider,Technology,9614115.882881625,177,74126.20370272739
231,Business 231,Retailer,Healthcare,1304503.1666342367,259,48019.20127434757
232,Business 232,Manufacturer,Retail,9166583.538581701,458,74936.06294568039
233,Business 233,Manufacturer,Finance,565770.5246755152,917,50449.02615676199
234,Business 234,Distributor,Retail,8029885.81023464,990,21051.172133290387
235,Business 235,Retailer,Technology,9119182.793637596,840,31020.020894528803
236,Business 236,Government,Retail,8449918.73803262,506,61961.2598401704
237,Business 237,Government,Manufacturing,595981.5813676484,105,70964.36873749574
238,Business 238,Retailer,Retail,5254010.35963306,916,95073.46918849314
239,Business 239,Government,Healthcare,1939044.9913926916,871,48989.165279698725
240,Business 240,Retailer,Manufacturing,2524348.770052652,223,10052.2949825732
241,Business 241,Manufacturer,Technology,3112346.388428392,969,87798.83379597354
242,Business 242,Retailer,Technology,7952729.0434512375,736,96655.83288187851
243,Business 243,Government,Retail,4516213.017569043,82,12827.325642882704
244,Business 244,Distributor,Retail,7957219.7953106025,691,30933.611293865324
245,Business 245,Retailer,Finance,9495779.48968105,978,72253.77710230749
246,Business 246,Retailer,Retail,7029765.371435004,19,86771.3142769171
247,Business 247,Retailer,Retail,5093682.811329269,203,79225.56796074251
248,Business 248,Manufacturer,Finance,9543198.231185647,835,83557.563718145
249,Business 249,Government,Manufacturing,4979854.444916606,871,95366.32529662993
250,Business 250,Retailer,Manufacturing,3107106.212801864,563,96918.21109413708
251,Business 251,Service Provider,Healthcare,6909917.170789831,338,99419.74530600292
252,Business 252,Distributor,Finance,2640745.8442491125,386,81739.88196977986
253,Business 253,Service Provider,Manufacturing,7926387.116784376,876,87158.69387706404
254,Business 254,Service Provider,Finance,9853069.6952381,527,91889.41411979422
255,Business 255,Retailer,Finance,6083867.480567242,664,52711.80105584394
256,Business 256,Retailer,Technology,9705625.905052178,280,60663.91095931124
257,Business 257,Retailer,Retail,2899817.294633523,458,86675.47937572989
258,Business 258,Government,Technology,5810920.426293674,428,99369.97468256296
259,Business 259,Government,Retail,2923123.0002990454,272,90803.14843545764
260,Business 260,Manufacturer,Technology,7139487.976387281,922,69346.49511049717
261,Business 261,Service Provider,Manufacturing,8893882.78303372,91,83868.1061239291
262,Business 262,Manufacturer,Finance,2425548.5787593517,147,18247.15746799265
263,Business 263,Government,Technology,4932906.7415349595,772,18190.632208988627
264,Business 264,Manufacturer,Manufacturing,998634.251018646,93,70276.42904658812
265,Business 265,Manufacturer,Technology,4808019.148606255,69,82253.75018426264
266,Business 266,Retailer,Healthcare,2887707.430256178,375,60783.476024274
267,Business 267,Retailer,Manufacturing,2669471.411659406,887,45099.18182901372
268,Business 268,Government,Retail,8681853.885110678,433,21637.766006474118
269,Business 269,Retailer,Finance,9602791.297992313,87,70696.91750134659
270,Business 270,Manufacturer,Retail,8141441.051552431,461,48077.03121095269
271,Business 271,Distributor,Technology,7590685.148991686,427,76875.3152345399
272,Business 272,Retailer,Retail,7512484.464340523,382,61664.732340098635
273,Business 273,Manufacturer,Healthcare,3470264.632720822,34,19079.969701211616
274,Business 274,Distributor,Retail,2294797.5129533713,518,61691.90446799334
275,Business 275,Service Provider,Technology,357104.94007886056,126,49740.67011772649
276,Business 276,Manufacturer,Manufacturing,4044962.5672618696,85,67785.84370894398
277,Business 277,Retailer,Manufacturing,8683883.349729447,166,19309.18502171766
278,Business 278,Manufacturer,Manufacturing,8408888.485740643,145,96247.43537347969
279,Business 279,Government,Technology,6583080.714807853,756,84730.60947876962
280,Business 280,Government,Finance,5629739.703651002,366,70703.193975737
281,Business 281,Government,Finance,9846195.179918654,161,64372.49576102687
282,Business 282,Manufacturer,Finance,9845824.845845103,827,45467.30020376426
283,Business 283,Manufacturer,Manufacturing,2386138.448955511,165,65735.58106232114
284,Business 284,Retailer,Finance,3835980.721815465,778,42366.38124895677
285,Business 285,Service Provider,Technology,5023890.591149026,116,59007.53344728026
286,Business 286,Service Provider,Healthcare,2910364.239893288,111,60380.36046937636
287,Business 287,Distributor,Finance,2799666.7868912993,290,71747.98464369524
288,Business 288,Government,Technology,1898361.2354315387,430,65885.54171483086
289,Business 289,Service Provider,Manufacturing,1795094.6014766619,414,84525.52256407407
290,Business 290,Service Provider,Manufacturing,6513112.508711796,114,50088.101419667626
291,Business 291,Government,Retail,6577251.72518888,740,68969.82150188631
292,Business 292,Manufacturer,Technology,1963165.3858580147,435,89002.09327521491
293,Business 293,Government,Healthcare,690468.374093965,475,72653.36393424659
294,Business 294,Retailer,Healthcare,7344138.226329039,33,86365.48692051209
295,Business 295,Distributor,Technology,733014.5231196393,169,61696.03635122244
296,Business 296,Service Provider,Finance,4675250.903051925,269,30850.18844418406
297,Business 297,Manufacturer,Manufacturing,3588584.600830727,624,94721.37395680825
298,Business 298,Distributor,Finance,7301296.270294729,84,82227.03821666406
299,Business 299,Manufacturer,Technology,7057833.684984548,673,29349.974968061255
300,Business 300,Retailer,Healthcare,8011001.425918806,297,66463.1876084665
301,Business 301,Distributor,Retail,581017.354813718,865,72552.97564780067
302,Business 302,Service Provider,Finance,9031561.268574465,735,35520.977240241686
303,Business 303,Distributor,Technology,5614367.943907124,231,15048.627728335337
304,Business 304,Service Provider,Finance,7056422.36600309,975,35457.915477190334
305,Business 305,Retailer,Finance,2539890.9008559478,468,35900.207125590736
306,Business 306,Government,Manufacturing,3238019.0389053263,409,63684.78166565895
307,Business 307,Government,Technology,5627121.717252993,391,40818.352172147104
308,Business 308,Distributor,Healthcare,166881.98762681423,276,18085.98833297411
309,Business 309,Government,Retail,208068.74621486873,651,66166.80255179573
310,Business 310,Government,Retail,5907446.430496424,753,69797.3972756872
311,Business 311,Service Provider,Finance,1220862.7562065918,372,33803.834095234524
312,Business 312,Distributor,Manufacturing,9506781.985876573,531,91061.85444848699
313,Business 313,Service Provider,Healthcare,2494101.1596190627,325,99808.56857158113
314,Business 314,Retailer,Finance,1493349.2383079133,564,22665.15522296398
315,Business 315,Manufacturer,Finance,485701.2274212791,380,32967.52669686117
316,Business 316,Distributor,Manufacturing,732121.0327342929,163,85125.14422410533
317,Business 317,Service Provider,Technology,4586918.526636454,384,55431.01627315325
318,Business 318,Manufacturer,Manufacturing,6369160.318140595,742,20097.394841288715
319,Business 319,Distributor,Retail,9298501.718971478,317,40586.13509556011
320,Business 320,Manufacturer,Finance,7404183.453301044,941,31089.85455352289
321,Business 321,Distributor,Manufacturing,7945959.115920986,23,51628.79454634278
322,Business 322,Service Provider,Healthcare,5371784.119002492,10,57377.777174023
323,Business 323,Distributor,Healthcare,740097.2554824627,967,51748.682966999615
324,Business 324,Distributor,Technology,6091534.089512152,11,24772.596474922677
325,Business 325,Service Provider,Manufacturing,9635655.601541134,456,52279.52589245057
326,Business 326,Service Provider,Healthcare,7354019.422005688,417,67784.94524030233
327,Business 327,Service Provider,Technology,3326612.9497055123,427,19746.99935198863
328,Business 328,Retailer,Retail,6854216.5022833925,396,23790.568409068735
329,Business 329,Service Provider,Healthcare,5315967.252871168,770,95281.98773221276
330,Business 330,Manufacturer,Healthcare,9373626.47781896,466,61019.80601587298
331,Business 331,Distributor,Manufacturing,5646490.39099782,444,77589.32978187995
332,Business 332,Government,Manufacturing,4815855.173753466,797,94915.9974769517
333,Business 333,Retailer,Technology,2261405.573525222,320,46575.23152963004
334,Business 334,Service Provider,Finance,494084.5364248881,527,19788.72219457342
335,Business 335,Retailer,Finance,9804476.846904498,809,48663.00237161516
336,Business 336,Government,Retail,2658513.397432207,690,33490.64601505123
337,Business 337,Distributor,Finance,5242558.702284699,738,21139.36505396363
338,Business 338,Government,Manufacturing,6612646.551808387,947,83558.59015959506
339,Business 339,Distributor,Technology,6055234.613943807,578,27619.849864810945
340,Business 340,Distributor,Healthcare,6402347.890171017,215,98364.50233883322
341,Business 341,Manufacturer,Healthcare,7763779.840799641,874,80155.740012964
342,Business 342,Manufacturer,Retail,2465726.6045880346,508,66869.38075384716
343,Business 343,Manufacturer,Manufacturing,2325078.424551413,766,83830.21182374304
344,Business 344,Manufacturer,Retail,6419040.018665844,305,22565.674926041876
345,Business 345,Service Provider,Manufacturing,6211833.140982754,559,72920.74382886718
346,Business 346,Distributor,Finance,6618708.800968546,526,21432.476396566668
347,Business 347,Distributor,Healthcare,4787285.111036459,303,91023.35705492999
348,Business 348,Manufacturer,Healthcare,1328430.0956908206,171,92502.77118238327
349,Business 349,Manufacturer,Manufacturing,9729976.448441492,167,72179.24540754469
350,Business 350,Manufacturer,Manufacturing,6877822.136622067,264,90611.53738793424
351,Business 351,Government,Manufacturing,783183.6911186042,995,94879.36877319295
352,Business 352,Retailer,Manufacturing,4576926.39219776,706,66855.25836556876
353,Business 353,Manufacturer,Retail,7602428.1929385895,97,26048.40550419444
354,Business 354,Service Provider,Technology,7131003.9811048005,398,92192.87336981103
355,Business 355,Manufacturer,Technology,1863888.9481727562,965,14264.515680826498
356,Business 356,Distributor,Healthcare,205052.50130354823,417,96975.69709881367
357,Business 357,Distributor,Manufacturing,1183328.395273926,875,62469.22922873819
358,Business 358,Retailer,Manufacturing,1455401.0824581415,808,76160.59202906504
359,Business 359,Retailer,Technology,5341000.372373006,433,18242.25351933747
360,Business 360,Government,Manufacturing,2397693.7788198236,506,41419.67330669635
361,Business 361,Distributor,Healthcare,1021883.8284239093,662,89192.11345296253
362,Business 362,Distributor,Finance,720711.9570845675,572,18685.50910356224
363,Business 363,Service Provider,Retail,3109079.690655641,710,98516.56916043439
364,Business 364,Government,Technology,3453737.1653556204,940,47502.36834077512
365,Business 365,Retailer,Retail,9997952.728641853,961,67293.39488908232
366,Business 366,Retailer,Manufacturing,6976986.961827313,48,47936.68684765618
367,Business 367,Service Provider,Finance,6929023.33023413,244,15423.786026261074
368,Business 368,Government,Manufacturing,9173844.537821919,348,80670.00058909347
369,Business 369,Manufacturer,Technology,7874080.514719687,450,38643.76735362359
370,Business 370,Distributor,Manufacturing,4826547.87780685,750,17395.545484998536
371,Business 371,Distributor,Healthcare,117125.9838896893,981,71479.12832927953
372,Business 372,Distributor,Finance,1095230.9302373752,611,25365.387964002384
373,Business 373,Distributor,Manufacturing,7810714.473410927,12,57930.64816571388
374,Business 374,Manufacturer,Finance,8925670.665200531,146,61933.73448881102
375,Business 375,Manufacturer,Healthcare,4012392.2794101993,764,39013.44043845032
376,Business 376,Service Provider,Healthcare,1595311.549307612,446,48595.42535278739
377,Business 377,Retailer,Manufacturing,7808858.12050691,591,54417.71944364889
378,Business 378,Manufacturer,Technology,2153604.8367402274,253,82873.18873433137
379,Business 379,Retailer,Finance,8599577.652317133,974,23868.20153545886
380,Business 380,Service Provider,Manufacturing,1573781.673079872,137,93815.8208254844
381,Business 381,Distributor,Healthcare,7818609.598867514,39,12673.855217585065
382,Business 382,Government,Healthcare,2824022.479571797,983,21793.089442174787
383,Business 383,Manufacturer,Retail,9397006.266429098,509,62837.064434058964
384,Business 384,Manufacturer,Finance,3290314.3672818905,431,25291.6413764144
385,Business 385,Service Provider,Technology,7570369.287457007,385,57686.931786139765
386,Business 386,Distributor,Technology,1301026.882485045,321,21235.124469873932
387,Business 387,Government,Technology,2398848.620161599,932,62244.50492458057
388,Business 388,Distributor,Technology,5759561.148536873,882,79120.55515750876
389,Business 389,Distributor,Retail,324685.62414895644,858,20634.88814059347
390,Business 390,Government,Technology,5789097.43101581,369,92638.47400489716
391,Business 391,Distributor,Technology,4710066.291396444,225,71039.44557224619
392,Business 392,Distributor,Technology,4079142.105804207,531,15737.588982034318
393,Business 393,Distributor,Manufacturing,3421359.836657558,338,48283.79457907285
