itemid,property,value
48,categoryid,Industrial Equipment
48,brand,Brand_16
48,price,454.83837015649436
48,rating,3.5765397664627514
49,categoryid,IT Hardware
49,brand,Brand_13
49,price,86.32944753579966
49,rating,4.49949179069721
50,categoryid,Manufacturing Tools
50,brand,Brand_2
50,price,491.8205725714377
50,rating,3.762010514933444
51,categoryid,IT Hardware
51,brand,Brand_10
51,price,628.1981032833579
51,rating,4.889861670136998
52,categoryid,Office Supplies
52,brand,Brand_7
52,price,471.07934955870695
52,rating,3.7070773160278243
53,categoryid,Office Furniture
53,brand,Brand_8
53,price,583.3012471903528
53,rating,3.9173572546588566
54,categoryid,Office Supplies
54,brand,Brand_9
54,price,242.02881132147024
54,rating,3.9057845491697734
55,categoryid,Office Supplies
55,brand,Brand_13
55,price,770.464243352863
55,rating,4.506387449782924
56,categoryid,IT Hardware
56,brand,Brand_13
56,price,237.17947608404222
56,rating,3.3340666190914234
57,categoryid,Safety Equipment
57,brand,Brand_3
57,price,780.5511394322667
57,rating,4.285550069519694
58,categoryid,Manufacturing Tools
58,brand,Brand_2
58,price,304.4797544918264
58,rating,3.559435197742169
59,categoryid,Manufacturing Tools
59,brand,Brand_1
59,price,196.99587067740023
59,rating,4.930501523415789
60,categoryid,Office Furniture
60,brand,Brand_6
60,price,743.9656990162907
60,rating,3.5666717878198684
61,categoryid,Office Furniture
61,brand,Brand_4
61,price,897.0371194470983
61,rating,4.727811224441695
62,categoryid,IT Hardware
62,brand,Brand_14
62,price,582.6370328140118
62,rating,3.8888968893874654
63,categoryid,Manufacturing Tools
63,brand,Brand_9
63,price,667.8232855938027
63,rating,3.449440715325033
64,categoryid,Industrial Equipment
64,brand,Brand_4
64,price,21.895196291357507
64,rating,4.344608645212007
65,categoryid,Office Furniture
65,brand,Brand_10
65,price,657.6157648190184
65,rating,4.380223753251729
66,categoryid,Office Supplies
66,brand,Brand_18
66,price,966.6080658479412
66,rating,3.845284995568026
67,categoryid,Office Furniture
67,brand,Brand_12
67,price,139.54649685417013
67,rating,3.737423805779371
68,categoryid,Office Supplies
68,brand,Brand_13
68,price,476.0500190653713
68,rating,4.090647565492908
69,categoryid,IT Hardware
69,brand,Brand_11
69,price,713.1684665650644
69,rating,3.764654393384772
70,categoryid,Office Supplies
70,brand,Brand_5
70,price,782.3690527537021
70,rating,4.50794532658514
71,categoryid,Office Furniture
71,brand,Brand_4
71,price,729.1721808238185
71,rating,4.927498188556188
72,categoryid,Manufacturing Tools
72,brand,Brand_5
72,price,691.7803085832746
72,rating,4.52632842614422
73,categoryid,IT Hardware
73,brand,Brand_17
73,price,108.45146470017768
73,rating,4.0577513132088505
74,categoryid,Office Supplies
74,brand,Brand_2
74,price,12.196839462049262
74,rating,4.640264496488467
75,categoryid,Safety Equipment
75,brand,Brand_7
75,price,406.5102513695251
75,rating,4.578943107599522
76,categoryid,Office Furniture
76,brand,Brand_13
76,price,534.838230955913
76,rating,4.3723581534750275
77,categoryid,Office Supplies
77,brand,Brand_19
77,price,446.5428019373113
77,rating,4.550976036984053
78,categoryid,Safety Equipment
78,brand,Brand_4
78,price,203.02402314228902
78,rating,3.8462233038765503
79,categoryid,Safety Equipment
79,brand,Brand_6
79,price,161.10172029043935
79,rating,3.7974269728298786
80,categoryid,Office Supplies
80,brand,Brand_12
80,price,152.2623840315355
80,rating,4.766992352920628
81,categoryid,Safety Equipment
81,brand,Brand_5
81,price,986.7829514985006
81,rating,4.593657290914048
82,categoryid,Office Supplies
82,brand,Brand_3
82,price,474.57884652085494
82,rating,4.515630759122053
83,categoryid,Office Supplies
83,brand,Brand_4
83,price,79.1081848087684
83,rating,3.197576188143753
84,categoryid,Office Furniture
84,brand,Brand_19
84,price,859.3974289224842
84,rating,3.7527796531460513
85,categoryid,Office Supplies
85,brand,Brand_17
85,price,275.7554676216584
85,rating,4.739593570990269
86,categoryid,Manufacturing Tools
86,brand,Brand_12
86,price,785.2039325593892
86,rating,3.795397036068108
87,categoryid,Industrial Equipment
87,brand,Brand_13
87,price,624.2490715338955
87,rating,3.48056592129749
88,categoryid,Office Supplies
88,brand,Brand_7
88,price,722.2811051687703
88,rating,3.439232321127573
89,categoryid,Manufacturing Tools
89,brand,Brand_17
89,price,913.0473599631417
89,rating,3.5549118916315745
90,categoryid,Safety Equipment
90,brand,Brand_19
90,price,598.5245138381252
90,rating,3.6087387373949675
91,categoryid,Industrial Equipment
91,brand,Brand_13
91,price,470.70200238086863
91,rating,3.2595275625174027
92,categoryid,Safety Equipment
92,brand,Brand_5
92,price,563.5915541072392
92,rating,4.916967375282499
93,categoryid,Industrial Equipment
93,brand,Brand_15
93,price,826.8605094117758
93,rating,3.7206549613501023
94,categoryid,Industrial Equipment
94,brand,Brand_1
94,price,842.1536701465503
94,rating,4.763406902571683
95,categoryid,Safety Equipment
95,brand,Brand_13
95,price,653.3183972767583
95,rating,4.897414018137711
96,categoryid,IT Hardware
96,brand,Brand_6
96,price,409.077724915843
96,rating,3.829391681751548
97,categoryid,Industrial Equipment
97,brand,Brand_11
97,price,811.4446848353475
97,rating,3.440154771113785
98,categoryid,Industrial Equipment
98,brand,Brand_15
98,price,279.4682000271998
98,rating,3.578749031092827
99,categoryid,Manufacturing Tools
99,brand,Brand_5
99,price,656.9231171999589
99,rating,3.489099782028902
100,categoryid,Safety Equipment
100,brand,Brand_15
100,price,761.7637465637183
100,rating,4.816320043603847
101,categoryid,Office Furniture
101,brand,Brand_10
101,price,699.5255473885053
101,rating,4.441545808401505
102,categoryid,Safety Equipment
102,brand,Brand_3
102,price,320.57509123306636
102,rating,4.691888251590795
103,categoryid,Office Supplies
103,brand,Brand_11
103,price,11.995815651057256
103,rating,4.360412129355627
104,categoryid,IT Hardware
104,brand,Brand_9
104,price,941.9009939402758
104,rating,3.0065926879785705
105,categoryid,Safety Equipment
105,brand,Brand_16
105,price,837.6610527816576
105,rating,4.418979172386926
106,categoryid,Industrial Equipment
106,brand,Brand_16
106,price,194.46939295309346
106,rating,4.10593943690167
107,categoryid,Industrial Equipment
107,brand,Brand_13
107,price,448.42588808744534
107,rating,4.501031781399032
108,categoryid,Safety Equipment
108,brand,Brand_19
108,price,593.5471412115345
108,rating,4.064751913675185
109,categoryid,Office Supplies
109,brand,Brand_14
109,price,352.825697772404
109,rating,3.448295624991494
110,categoryid,IT Hardware
110,brand,Brand_4
110,price,967.5348707500633
110,rating,4.489538228792078
111,categoryid,Safety Equipment
111,brand,Brand_11
111,price,213.1503889006627
111,rating,3.863875542186988
112,categoryid,IT Hardware
112,brand,Brand_3
112,price,234.89945326307702
112,rating,4.901999054143782
113,categoryid,IT Hardware
113,brand,Brand_3
113,price,107.39962181977688
113,rating,4.391686432796971
114,categoryid,Industrial Equipment
114,brand,Brand_3
114,price,31.38295619651245
114,rating,3.6169295534432915
115,categoryid,Office Supplies
115,brand,Brand_5
115,price,966.1763482263245
115,rating,3.577478707552804
116,categoryid,Manufacturing Tools
116,brand,Brand_5
116,price,566.7925206625167
116,rating,3.909112943244826
117,categoryid,Industrial Equipment
117,brand,Brand_10
117,price,887.2059577071569
117,rating,3.682268431719848
118,categoryid,Manufacturing Tools
118,brand,Brand_17
118,price,706.1710124868162
118,rating,4.338327262048852
119,categoryid,Office Furniture
119,brand,Brand_10
119,price,267.23323819429714
119,rating,4.861712495949318
120,categoryid,Manufacturing Tools
120,brand,Brand_5
120,price,452.68849808423886
120,rating,4.201807341639833
121,categoryid,Industrial Equipment
121,brand,Brand_10
121,price,136.15915518073905
121,rating,4.629089148673111
122,categoryid,IT Hardware
122,brand,Brand_6
122,price,670.1898678862962
122,rating,3.316031436703531
123,categoryid,Safety Equipment
123,brand,Brand_14
123,price,199.33232886063152
123,rating,4.656712532587763
124,categoryid,Office Furniture
124,brand,Brand_16
124,price,339.4015754216155
124,rating,3.9880488609628233
125,categoryid,Office Furniture
125,brand,Brand_18
125,price,96.06531232282661
125,rating,4.052507662586898
126,categoryid,Industrial Equipment
126,brand,Brand_16
126,price,891.0830366491399
126,rating,4.934001646554197
127,categoryid,Office Supplies
127,brand,Brand_2
127,price,681.301062974894
127,rating,3.083532116354
128,categoryid,Office Furniture
128,brand,Brand_14
128,price,91.32331427310136
128,rating,3.0296602397174572
129,categoryid,IT Hardware
129,brand,Brand_10
129,price,669.3195187376085
129,rating,4.882507619292565
130,categoryid,Safety Equipment
130,brand,Brand_14
130,price,645.8985819395875
130,rating,4.430131590099074
131,categoryid,Manufacturing Tools
131,brand,Brand_11
131,price,954.1591488125694
131,rating,3.135290711541027
132,categoryid,Office Furniture
132,brand,Brand_10
132,price,217.75749311259239
132,rating,3.6149186848288672
133,categoryid,Industrial Equipment
133,brand,Brand_19
133,price,316.91731937571166
133,rating,3.993973560463692
134,categoryid,Office Supplies
134,brand,Brand_13
134,price,236.7858913080121
134,rating,3.9474227405779914
135,categoryid,Industrial Equipment
135,brand,Brand_11
135,price,154.00258000678858
135,rating,3.1919198333426824
136,categoryid,Office Furniture
136,brand,Brand_13
136,price,255.2798761002263
136,rating,4.370636530240462
137,categoryid,IT Hardware
137,brand,Brand_6
137,price,788.0876058853274
137,rating,3.1083848217090857
138,categoryid,IT Hardware
138,brand,Brand_8
138,price,801.6318048986723
138,rating,3.3566780539598877
139,categoryid,Safety Equipment
139,brand,Brand_7
139,price,515.0328129349396
139,rating,4.873793312096737
140,categoryid,Industrial Equipment
140,brand,Brand_7
140,price,161.11332372380798
140,rating,4.758410275637772
141,categoryid,Industrial Equipment
141,brand,Brand_11
141,price,74.77030025206237
141,rating,4.426052162910212
142,categoryid,Office Furniture
142,brand,Brand_6
142,price,753.6012695520852
142,rating,3.9459363547028885
143,categoryid,Office Supplies
143,brand,Brand_12
143,price,26.42716402569806
143,rating,4.310967112967888
144,categoryid,Safety Equipment
144,brand,Brand_12
144,price,258.5439643927294
144,rating,4.760839564634256
145,categoryid,IT Hardware
145,brand,Brand_6
145,price,395.08929746357035
145,rating,4.202518003692061
146,categoryid,Manufacturing Tools
146,brand,Brand_9
146,price,420.6254858757684
146,rating,4.777527684163156
147,categoryid,IT Hardware
147,brand,Brand_10
147,price,629.8920080953391
147,rating,4.346820432229857
148,categoryid,Manufacturing Tools
148,brand,Brand_13
148,price,881.4563175012396
148,rating,3.4447237690823522
149,categoryid,Office Supplies
149,brand,Brand_17
149,price,338.4986138152948
149,rating,3.5428447902495064
150,categoryid,IT Hardware
150,brand,Brand_14
150,price,133.59624530444557
150,rating,3.251496902235967
151,categoryid,Manufacturing Tools
151,brand,Brand_11
151,price,537.9023528377778
151,rating,3.616550695878026
152,categoryid,Office Furniture
152,brand,Brand_10
152,price,485.5081576738961
152,rating,4.7019765131350635
153,categoryid,Office Furniture
153,brand,Brand_5
153,price,172.70513976901722
153,rating,3.734616342448807
154,categoryid,Safety Equipment
154,brand,Brand_12
154,price,950.602627459782
154,rating,4.922715374119673
155,categoryid,Manufacturing Tools
155,brand,Brand_15
155,price,441.0815113950864
155,rating,4.323137775917318
156,categoryid,Office Supplies
156,brand,Brand_2
156,price,817.7633436126737
156,rating,3.9184503943652453
157,categoryid,Office Supplies
157,brand,Brand_15
157,price,602.8852727722274
157,rating,3.4316833721736613
158,categoryid,Manufacturing Tools
158,brand,Brand_18
158,price,390.78639573827724
158,rating,4.252479639685326
159,categoryid,Safety Equipment
159,brand,Brand_17
159,price,548.1923779175936
159,rating,4.584982339831171
160,categoryid,Office Supplies
160,brand,Brand_13
160,price,978.0259020493733
160,rating,3.6186628734515867
161,categoryid,Office Supplies
161,brand,Brand_3
161,price,267.4260236698238
161,rating,4.067559965214552
162,categoryid,Industrial Equipment
162,brand,Brand_3
162,price,523.0699060617444
162,rating,4.996880450571818
163,categoryid,Industrial Equipment
163,brand,Brand_17
163,price,135.3324926459045
163,rating,4.406923266060186
164,categoryid,Office Furniture
164,brand,Brand_5
164,price,92.93914648585782
164,rating,3.5771618734008523
165,categoryid,Safety Equipment
165,brand,Brand_5
165,price,968.705393574146
165,rating,4.19578239779432
166,categoryid,Office Furniture
166,brand,Brand_7
166,price,576.5600581645425
166,rating,4.224079477806191
167,categoryid,Office Furniture
167,brand,Brand_12
167,price,10.655840796188418
167,rating,4.091968904621818
168,categoryid,Industrial Equipment
168,brand,Brand_1
168,price,847.3417546888413
168,rating,4.40925146484955
169,categoryid,Safety Equipment
169,brand,Brand_1
169,price,299.57110387720905
169,rating,3.8188386344889347
170,categoryid,Industrial Equipment
170,brand,Brand_16
170,price,553.9715805582786
170,rating,4.658205844759031
171,categoryid,Office Furniture
171,brand,Brand_18
171,price,379.2326662791899
171,rating,3.8534439847612028
172,categoryid,Office Furniture
172,brand,Brand_6
172,price,549.2081435008084
172,rating,3.2430710755069443
173,categoryid,Safety Equipment
173,brand,Brand_16
173,price,868.4497065014615
173,rating,4.844791244635908
174,categoryid,Safety Equipment
174,brand,Brand_1
174,price,229.86514396020235
174,rating,4.401611523334761
175,categoryid,Manufacturing Tools
175,brand,Brand_5
175,price,418.8568667186429
175,rating,4.773875467092122
176,categoryid,Industrial Equipment
176,brand,Brand_15
176,price,511.67725746744634
176,rating,3.856290549175296
177,categoryid,Safety Equipment
177,brand,Brand_2
177,price,395.4716398364775
177,rating,4.002481672275485
178,categoryid,Office Supplies
178,brand,Brand_16
178,price,673.6618206656418
178,rating,4.470482551869729
179,categoryid,Office Supplies
179,brand,Brand_13
179,price,690.6985220963866
179,rating,3.433701696599776
180,categoryid,Industrial Equipment
180,brand,Brand_16
180,price,332.1174378259094
180,rating,4.776230697703714
181,categoryid,Manufacturing Tools
181,brand,Brand_16
181,price,718.4687641714744
181,rating,4.179371117017658
182,categoryid,Office Supplies
182,brand,Brand_11
182,price,659.5855518040436
182,rating,4.632493834678629
183,categoryid,Manufacturing Tools
183,brand,Brand_12
183,price,501.676714742965
183,rating,3.113184742370575
184,categoryid,Safety Equipment
184,brand,Brand_2
184,price,865.3857921138673
184,rating,4.378003655628092
185,categoryid,Office Supplies
185,brand,Brand_14
185,price,822.2360731072807
185,rating,4.945075954433974
186,categoryid,Industrial Equipment
186,brand,Brand_11
186,price,920.4890764745776
186,rating,3.6118637493705257
187,categoryid,Office Supplies
187,brand,Brand_3
187,price,121.93428128136165
187,rating,3.4643964761404438
188,categoryid,Office Supplies
188,brand,Brand_16
188,price,353.60310809281896
188,rating,3.4932027787375786
189,categoryid,Office Furniture
189,brand,Brand_2
189,price,398.2816762373008
189,rating,3.6326006095832533
190,categoryid,Office Supplies
190,brand,Brand_5
190,price,370.66681554632015
190,rating,4.419118021697669
191,categoryid,Office Furniture
191,brand,Brand_10
191,price,107.62910353415661
191,rating,4.221582101833769
192,categoryid,Office Supplies
192,brand,Brand_9
192,price,373.03437358185414
192,rating,4.265275092680194
193,categoryid,Manufacturing Tools
193,brand,Brand_7
193,price,282.61882499201573
193,rating,4.078916183512261
194,categoryid,Manufacturing Tools
194,brand,Brand_14
194,price,718.6225860964291
194,rating,4.030969638918654
195,categoryid,Manufacturing Tools
195,brand,Brand_19
195,price,540.9185070802274
195,rating,4.593796585758991
196,categoryid,Safety Equipment
196,brand,Brand_6
196,price,114.9607533926889
196,rating,4.901703977047257
197,categoryid,Office Furniture
197,brand,Brand_18
197,price,213.82699251353318
197,rating,4.004237861195882
198,categoryid,Industrial Equipment
198,brand,Brand_5
198,price,150.40069841551258
198,rating,4.604725429013989
199,categoryid,IT Hardware
199,brand,Brand_9
199,price,271.50822902434265
199,rating,4.0566129491837515
200,categoryid,Manufacturing Tools
200,brand,Brand_16
200,price,590.0433677946279
200,rating,4.789695153580595
201,categoryid,IT Hardware
201,brand,Brand_8
201,price,347.9041390067126
201,rating,3.4093572015603426
202,categoryid,Industrial Equipment
202,brand,Brand_15
202,price,941.2914236188033
202,rating,3.3497396978010388
203,categoryid,Industrial Equipment
203,brand,Brand_18
203,price,993.2857716243549
203,rating,3.578288832809015
204,categoryid,Manufacturing Tools
204,brand,Brand_14
204,price,900.6298694880135
204,rating,4.646953345306647
205,categoryid,Manufacturing Tools
205,brand,Brand_19
205,price,141.67792731960978
205,rating,3.681015474893032
206,categoryid,Industrial Equipment
206,brand,Brand_5
206,price,586.9049041747263
206,rating,3.644422979302599
207,categoryid,IT Hardware
207,brand,Brand_18
207,price,469.8843297030513
207,rating,4.968180191598237
208,categoryid,IT Hardware
208,brand,Brand_17
208,price,755.2013191825646
208,rating,4.74491157110524
209,categoryid,Manufacturing Tools
209,brand,Brand_9
209,price,460.5694645942767
209,rating,3.781131936698312
210,categoryid,Safety Equipment
210,brand,Brand_12
210,price,437.39780392493583
210,rating,4.188725840271751
211,categoryid,Office Supplies
211,brand,Brand_19
211,price,774.1693490906874
211,rating,4.942740271598467
212,categoryid,Office Supplies
212,brand,Brand_18
212,price,466.2084094155667
212,rating,4.290736753232657
213,categoryid,Manufacturing Tools
213,brand,Brand_16
213,price,131.25668337570667
213,rating,3.2735482396380347
214,categoryid,Safety Equipment
214,brand,Brand_9
214,price,280.8359745540211
214,rating,4.188688181437078
215,categoryid,Manufacturing Tools
215,brand,Brand_14
215,price,870.766529716857
215,rating,3.0785406737569696
216,categoryid,Office Supplies
216,brand,Brand_9
216,price,402.77779906906466
216,rating,3.992185316662135
217,categoryid,Safety Equipment
217,brand,Brand_10
217,price,640.433883843352
217,rating,4.166518155273074
218,categoryid,Office Supplies
218,brand,Brand_6
218,price,15.820884948010878
218,rating,4.935332782261563
219,categoryid,Safety Equipment
219,brand,Brand_14
219,price,789.1470535957877
219,rating,3.290695767039506
220,categoryid,IT Hardware
220,brand,Brand_14
220,price,677.8589746111733
220,rating,4.63398467213591
221,categoryid,Safety Equipment
221,brand,Brand_14
221,price,27.01800488205088
221,rating,4.518489577151729
222,categoryid,Office Supplies
222,brand,Brand_1
222,price,468.4128371677908
222,rating,3.734318604537741
223,categoryid,Industrial Equipment
223,brand,Brand_10
223,price,263.59895963900925
223,rating,4.383405737532835
224,categoryid,Manufacturing Tools
224,brand,Brand_8
224,price,478.23930880525455
224,rating,3.8573086874305256
225,categoryid,Office Furniture
225,brand,Brand_11
225,price,245.23594668983307
225,rating,3.8016188819665713
226,categoryid,Manufacturing Tools
226,brand,Brand_19
226,price,804.010872130769
226,rating,4.99723059785452
227,categoryid,Safety Equipment
227,brand,Brand_9
227,price,557.9684003836302
227,rating,3.7624503812242223
228,categoryid,Industrial Equipment
228,brand,Brand_15
228,price,502.487488634421
228,rating,4.053646104019429
229,categoryid,Industrial Equipment
229,brand,Brand_19
229,price,609.9093828657388
229,rating,4.481046215510777
230,categoryid,Safety Equipment
230,brand,Brand_15
230,price,265.7600234035628
230,rating,3.285148382319619
231,categoryid,Manufacturing Tools
231,brand,Brand_15
231,price,800.7264521318355
231,rating,3.0365822372476554
232,categoryid,IT Hardware
232,brand,Brand_9
232,price,234.34104092100804
232,rating,3.636797150007126
233,categoryid,Office Supplies
233,brand,Brand_4
233,price,857.415558250641
233,rating,3.003428907167955
234,categoryid,Safety Equipment
234,brand,Brand_17
234,price,456.6183534916117
234,rating,3.484523693503662
235,categoryid,Industrial Equipment
235,brand,Brand_19
235,price,524.0441807107967
235,rating,4.272312006937133
236,categoryid,Office Supplies
236,brand,Brand_11
236,price,102.43594151645269
236,rating,3.8493084506118693
237,categoryid,Manufacturing Tools
237,brand,Brand_12
237,price,871.3927783908284
237,rating,3.2409411938018087
238,categoryid,Manufacturing Tools
238,brand,Brand_14
238,price,391.2427159074636
238,rating,4.998581927040195
239,categoryid,IT Hardware
239,brand,Brand_15
239,price,283.4664763726738
239,rating,3.416452604717512
240,categoryid,Office Furniture
240,brand,Brand_3
240,price,929.2792358074138
240,rating,3.8734246952736866
241,categoryid,IT Hardware
241,brand,Brand_5
241,price,575.1072266845553
241,rating,3.5000703554986203
242,categoryid,IT Hardware
242,brand,Brand_3
242,price,671.0000549476501
242,rating,3.625869545047295
243,categoryid,Safety Equipment
243,brand,Brand_3
243,price,605.5895261019696
243,rating,3.947218947799781
244,categoryid,Safety Equipment
244,brand,Brand_10
244,price,92.93395427691799
244,rating,3.45978981991185
245,categoryid,Safety Equipment
245,brand,Brand_1
245,price,10.998914559058239
245,rating,3.6139911318593767
246,categoryid,Safety Equipment
246,brand,Brand_16
246,price,113.48111107534054
246,rating,3.1630925425503325
247,categoryid,Manufacturing Tools
247,brand,Brand_19
247,price,911.792248345454
247,rating,3.3368587474975175
248,categoryid,Industrial Equipment
248,brand,Brand_12
248,price,167.0436291706529
248,rating,3.917514053535381
249,categoryid,Office Supplies
249,brand,Brand_1
249,price,587.5089354087829
249,rating,3.6832174793135133
250,categoryid,Safety Equipment
250,brand,Brand_16
250,price,37.24018803179421
250,rating,3.9537129879524304
251,categoryid,IT Hardware
251,brand,Brand_13
251,price,107.62577479057134
251,rating,3.845893662162032
252,categoryid,Manufacturing Tools
252,brand,Brand_9
252,price,276.2969049810556
252,rating,3.947964311517227
253,categoryid,Office Supplies
253,brand,Brand_13
253,price,103.32051913600995
253,rating,4.138456956405641
254,categoryid,Manufacturing Tools
254,brand,Brand_15
254,price,751.0581036295162
254,rating,3.1249103544623424
255,categoryid,Office Supplies
255,brand,Brand_14
255,price,710.1957124909877
255,rating,3.61823138629225
256,categoryid,Office Furniture
256,brand,Brand_3
256,price,270.1370824491371
256,rating,3.2450104499177383
257,categoryid,Industrial Equipment
257,brand,Brand_1
257,price,737.4016414101552
257,rating,4.252300047984389
258,categoryid,Office Supplies
258,brand,Brand_16
258,price,802.4233697700446
258,rating,4.07783090765448
259,categoryid,Office Supplies
259,brand,Brand_16
259,price,414.0492896640843
259,rating,3.495672065982136
260,categoryid,Industrial Equipment
260,brand,Brand_7
260,price,307.0797875229768
260,rating,4.382829654637906
261,categoryid,Safety Equipment
261,brand,Brand_1
261,price,931.1214948907489
261,rating,3.9754066290239707
262,categoryid,Office Supplies
262,brand,Brand_11
262,price,771.845664716844
262,rating,3.9657191105680694
263,categoryid,Safety Equipment
263,brand,Brand_11
263,price,482.5826285927395
263,rating,3.423752667885129
264,categoryid,Office Supplies
264,brand,Brand_7
264,price,86.77514564257052
264,rating,4.258870929299672
265,categoryid,IT Hardware
265,brand,Brand_18
265,price,158.65509687326033
265,rating,3.9700110857027235
266,categoryid,Office Supplies
266,brand,Brand_16
266,price,993.1445154940012
266,rating,4.044664462259884
267,categoryid,Safety Equipment
267,brand,Brand_9
267,price,939.3183770796425
267,rating,4.954377007036726
268,categoryid,Office Supplies
268,brand,Brand_16
268,price,875.8844320233644
268,rating,3.320722998289447
269,categoryid,IT Hardware
269,brand,Brand_6
269,price,136.4237352339045
269,rating,4.047219764751208
270,categoryid,Industrial Equipment
270,brand,Brand_14
270,price,67.0767161135179
270,rating,4.506902155312751
271,categoryid,Safety Equipment
271,brand,Brand_18
271,price,260.85976465067
271,rating,3.960925460589369
272,categoryid,Industrial Equipment
272,brand,Brand_17
272,price,518.5583709144182
272,rating,3.0573439334810653
273,categoryid,Office Furniture
273,brand,Brand_6
273,price,475.67655151902477
